Rice 31: (653, 1147), (725, 1147), (725, 1184), (653, 1184)
Rice 32: (566, 1145), (638, 1145), (638, 1182), (566, 1182)
Rice 33: (1028, 1134), (1091, 1134), (1091, 1175), (1028, 1175)
Rice 34: (200, 1132), (263, 1132), (263, 1173), (200, 1173)
Rice 35: (789, 1131), (836, 1131), (836, 1177), (789, 1177)
Rice 36: (1197, 1130), (1246, 1130), (1246, 1190), (1197, 1190)
Rice 37: (455, 1129), (502, 1129), (502, 1175), (455, 1175)
Rice 38: (45, 1128), (94, 1128), (94, 1188), (45, 1188)
Rice 39: (1109, 1118), (1148, 1118), (1148, 1171), (1109, 1171)
Rice 40: (143, 1116), (182, 1116), (182, 1169), (143, 1169)
Rice 41: (1257, 1108), (1290, 1108), (1290, 1149), (1257, 1149)
Rice 42: (745, 1108), (779, 1108), (779, 1174), (745, 1174)
Rice 43: (512, 1106), (546, 1106), (546, 1172), (512, 1172)
Rice 44: (0, 1106), (34, 1106), (34, 1148), (0, 1148)
Rice 45: (853, 1098), (904, 1098), (904, 1163), (853, 1163)
Rice 46: (689, 1096), (745, 1096), (745, 1149), (689, 1149)
Rice 47: (387, 1096), (438, 1096), (438, 1161), (387, 1161)
Rice 48: (546, 1094), (602, 1094), (602, 1147), (546, 1147)
Rice 49: (942, 1092), (977, 1092), (977, 1165), (942, 1165)
Rice 50: (1162, 1091), (1194, 1091), (1194, 1156), (1162, 1156)
Rice 51: (314, 1090), (349, 1090), (349, 1163), (314, 1163)
Rice 52: (97, 1089), (129, 1089), (129, 1154), (97, 1154)
Rice 53: (1020, 1081), (1082, 1081), (1082, 1133), (1020, 1133)
Rice 54: (209, 1079), (271, 1079), (271, 1131), (209, 1131)
Rice 55: (612, 1073), (679, 1073), (679, 1108), (612, 1108)
Rice 56: (902, 1071), (927, 1071), (927, 1145), (902, 1145)
Rice 57: (364, 1069), (389, 1069), (389, 1143), (364, 1143)
Rice 58: (1094, 1055), (1189, 1055), (1189, 1124), (1094, 1124)
Rice 59: (958, 1055), (1028, 1055), (1028, 1091), (958, 1091)
Rice 60: (1208, 1054), (1232, 1054), (1232, 1134), (1208, 1134)
Rice 61: (263, 1053), (333, 1053), (333, 1089), (263, 1089)
Rice 62: (102, 1053), (197, 1053), (197, 1122), (102, 1122)
Rice 63: (59, 1052), (83, 1052), (83, 1132), (59, 1132)
Rice 64: (1279, 1041), (1290, 1041), (1290, 1098), (1279, 1098)
Rice 65: (0, 1039), (12, 1039), (12, 1096), (0, 1096)
Rice 66: (867, 1027), (926, 1027), (926, 1085), (867, 1085)
Rice 67: (365, 1025), (424, 1025), (424, 1083), (365, 1083)
Rice 68: (799, 1022), (858, 1022), (858, 1130), (799, 1130)
Rice 69: (1203, 1020), (1267, 1020), (1267, 1063), (1203, 1063)
Rice 70: (433, 1020), (492, 1020), (492, 1128), (433, 1128)
Rice 71: (24, 1018), (88, 1018), (88, 1061), (24, 1061)
Rice 72: (1085, 1012), (1157, 1012), (1157, 1043), (1085, 1043)
Rice 73: (134, 1010), (206, 1010), (206, 1041), (134, 1041)
Rice 74: (740, 1003), (787, 1003), (787, 1076), (740, 1076)
Rice 75: (504, 1001), (550, 1001), (550, 1074), (504, 1074)
Rice 76: (1052, 994), (1078, 994), (1078, 1068), (1052, 1068)
Rice 77: (213, 992), (239, 992), (239, 1066), (213, 1066)
Rice 78: (564, 987), (727, 987), (727, 1065), (564, 1065)
Rice 79: (915, 969), (987, 969), (987, 1012), (915, 1012)
Rice 80: (304, 967), (375, 967), (375, 1010), (304, 1010)
Rice 81: (1097, 960), (1164, 960), (1164, 986), (1097, 986)
Rice 82: (127, 958), (194, 958), (194, 984), (127, 984)
Rice 83: (1266, 953), (1290, 953), (1290, 1022), (1266, 1022)
Rice 84: (741, 953), (791, 953), (791, 1004), (741, 1004)
Rice 85: (501, 951), (550, 951), (550, 1002), (501, 1002)
Rice 86: (0, 951), (25, 951), (25, 1020), (0, 1020)
Rice 87: (999, 939), (1026, 939), (1026, 1012), (999, 1012)
Rice 88: (265, 937), (292, 937), (292, 1010), (265, 1010)
Rice 89: (1222, 935), (1248, 935), (1248, 1010), (1222, 1010)
Rice 90: (43, 933), (69, 933), (69, 1008), (43, 1008)
Rice 91: (592, 928), (699, 928), (699, 961), (592, 961)
Rice 92: (1179, 925), (1203, 925), (1203, 998), (1179, 998)
Rice 93: (88, 923), (112, 923), (112, 996), (88, 996)
Rice 94: (873, 920), (921, 920), (921, 991), (873, 991)
Rice 95: (1071, 919), (1148, 919), (1148, 952), (1071, 952)
Rice 96: (370, 917), (418, 917), (418, 989), (370, 989)
Rice 97: (143, 917), (220, 917), (220, 950), (143, 950)
Rice 98: (1239, 906), (1290, 906), (1290, 947), (1239, 947)
Rice 99: (0, 904), (52, 904), (52, 945), (0, 945)
Rice 100: (817, 901), (863, 901), (863, 1046), (817, 1046)
Rice 101: (428, 899), (474, 899), (474, 1044), (428, 1044)
Rice 102: (737, 892), (805, 892), (805, 944), (737, 944)
Rice 103: (657, 891), (732, 891), (732, 917), (657, 917)
Rice 104: (486, 890), (554, 890), (554, 942), (486, 942)
Rice 105: (559, 889), (634, 889), (634, 915), (559, 915)
Rice 106: (1154, 875), (1211, 875), (1211, 935), (1154, 935)
Rice 107: (1042, 873), (1067, 873), (1067, 943), (1042, 943)
Rice 108: (80, 873), (137, 873), (137, 933), (80, 933)
Rice 109: (224, 871), (249, 871), (249, 941), (224, 941)
Rice 110: (614, 857), (677, 857), (677, 898), (614, 898)
Rice 111: (762, 853), (807, 853), (807, 912), (762, 912)
Rice 112: (484, 851), (529, 851), (529, 910), (484, 910)
Rice 113: (981, 833), (1006, 833), (1006, 911), (981, 911)
Rice 114: (285, 831), (310, 831), (310, 908), (285, 908)
Rice 115: (1106, 828), (1164, 828), (1164, 888), (1106, 888)
Rice 116: (615, 827), (676, 827), (676, 850), (615, 850)
Rice 117: (127, 826), (185, 826), (185, 886), (127, 886)
Rice 118: (1013, 815), (1083, 815), (1083, 845), (1013, 845)
Rice 119: (208, 814), (278, 814), (278, 843), (208, 843)
Rice 120: (1225, 813), (1290, 813), (1290, 898), (1225, 898)
Rice 121: (0, 811), (67, 811), (67, 896), (0, 896)
Rice 122: (804, 810), (843, 810), (843, 876), (804, 876)
Rice 123: (448, 808), (487, 808), (487, 874), (448, 874)
Rice 124: (908, 805), (945, 805), (945, 883), (908, 883)
Rice 125: (346, 803), (383, 803), (383, 881), (346, 881)
Rice 126: (1195, 802), (1248, 802), (1248, 862), (1195, 862)
Rice 127: (43, 800), (96, 800), (96, 860), (43, 860)
Rice 128: (837, 787), (880, 787), (880, 859), (837, 859)
Rice 129: (411, 785), (454, 785), (454, 857), (411, 857)
Rice 130: (978, 767), (1049, 767), (1049, 805), (978, 805)
Rice 131: (242, 765), (313, 765), (313, 803), (242, 803)
Rice 132: (599, 760), (692, 760), (692, 809), (599, 809)
Rice 133: (1156, 757), (1215, 757), (1215, 816), (1156, 816)
Rice 134: (76, 755), (135, 755), (135, 814), (76, 814)
Rice 135: (1229, 748), (1290, 748), (1290, 780), (1229, 780)
Rice 136: (0, 746), (62, 746), (62, 778), (0, 778)
Rice 137: (755, 740), (791, 740), (791, 816), (755, 816)
Rice 138: (907, 739), (972, 739), (972, 786), (907, 786)
Rice 139: (500, 738), (536, 738), (536, 814), (500, 814)
